target,GC,Age,Length,height,weight,One day races,GC_specialty,Time trial,Sprint,Climber,PCS Ranking,UCI World Ranking,Specials | All Time Ranking,sumres_1,sumres_2,sumres_3,Stage_Type_RR
0,40.0,31.0,148.5,1.91,74.0,3.844e+03,532.0,234.0,6.37e+03,530.0,25.0,21.0,275.0,15.0,65.0,40.0,1.0
0,44.0,32.0,148.5,1.81,70.0,403.0,779.0,18.0,60.0,648.0,397.0,609.0,985.0,169.0,166.0,174.0,1.0
0,46.0,31.0,148.5,1.89,72.0,85.0,67.0,231.0,645.0,42.0,514.0,1.178e+03,985.0,10.0,15.0,0.0,1.0
0,41.0,30.0,148.5,1.83,71.0,80.0,635.0,3.39e+03,216.0,90.0,899.0,966.0,1.353e+03,141.0,497.0,351.0,1.0
0,48.0,31.0,148.5,1.75,65.0,326.0,417.0,48.0,1.074e+03,90.0,749.0,912.0,985.0,15.0,25.0,11.0,1.0
0,43.0,33.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,25.0,97.0,138.0,1.0
0,45.0,24.0,148.5,1.73,58.0,92.0,1.135e+03,92.0,70.0,1.886e+03,70.0,117.0,1.774e+03,107.0,125.0,23.0,1.0
0,47.0,30.0,148.5,1.83,65.0,1.571e+03,488.0,498.0,479.0,623.0,197.0,243.0,1.498e+03,15.0,5.0,13.0,1.0
0,49.0,27.0,148.5,1.85,70.0,37.0,244.0,17.0,8.0,156.0,312.0,512.0,985.0,6.0,126.0,111.94,1.0
0,50.0,37.0,148.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,35.0,20.0,26.0,1.0
0,51.0,24.0,148.5,1.79,71.0,2.256e+03,340.0,343.0,4.056e+03,290.0,28.0,29.0,643.0,248.0,41.0,7.0,1.0
0,52.0,26.0,148.5,1.69,61.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,30.0,24.0,111.94,1.0
